NOMBRETOT,AUX_Tfno,DIR_LOCALIDAD,DIR_CP,DIR_PROVINCIA,ESTADO_2,ESTADO_1,NOMBRE1,DIR_COMPLETA,AUX_Idiomas,NOMBRE2,DIR_CALLE,TIEMPO
"Devesa Fernández, Raúl                                                                                                                    (Clínica Alevia                                                             )",965448056,ELCHE/ELX,03201,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Devesa Fernández, Raúl                                                                                                                    (Clínica Alevia                                                             )","C/ Antonio Machado, 4. Entreplanta Izqda, 03201 - ELCHE/ELX - ALICANTE/ALACANT",,"Devesa Fernández, Raúl                                                                                                                    (Clínica Alevia                                                             )","C/ Antonio Machado, 4. Entreplanta Izqda",2017-11-13T22:50:52.469000
"Fernández Vázquez, Casio L.                                                                                                                    (Hospital Centro Médico Acuario                                                             )",966435322,BENIARBEIG,03778,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Fernández Vázquez, Casio L.                                                                                                                    (Hospital Centro Médico Acuario                                                             )","Avda. Vergel, 11-Bajo, 03778 - BENIARBEIG - ALICANTE/ALACANT",,"Fernández Vázquez, Casio L.                                                                                                                    (Hospital Centro Médico Acuario                                                             )","Avda. Vergel, 11-Bajo",2017-11-13T22:50:53.728000
"García Baeza, María de la O                                                                                                                    (Clínica Vistahermosa                                                             )",965264200,ALICANTE/ALACANT,03015,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"García Baeza, María de la O                                                                                                                    (Clínica Vistahermosa                                                             )","Avda. de Denia, 103, 03015 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"García Baeza, María de la O                                                                                                                    (Clínica Vistahermosa                                                             )","Avda. de Denia, 103",2017-11-13T22:50:54.295000
"García López, Francisco P.                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )",966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"García López, Francisco P.                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,"García López, Francisco P.                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n",2017-11-13T22:50:54.874000
"García Martínez, Estrella                                                                                                                    (Clínica Vistahermosa                                                             )",902131353,ALICANTE/ALACANT,03016,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"García Martínez, Estrella                                                                                                                    (Clínica Vistahermosa                                                             )","Avda. de Denia, 76 Edificio Vistahermosa, 76 Consultas externas, 03016 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"García Martínez, Estrella                                                                                                                    (Clínica Vistahermosa                                                             )","Avda. de Denia, 76 Edificio Vistahermosa, 76 Consultas externas",2017-11-13T22:50:55.403000
"Garrido Sánchez-Segui, Aurelio                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )",966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Garrido Sánchez-Segui, Aurelio                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,"Garrido Sánchez-Segui, Aurelio                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n",2017-11-13T22:50:55.996000
"Hernández Blanco, Aída                                                                                                                    (Vithas Hospital Medimar Internacional                                                             )",965162200,ALICANTE/ALACANT,03016,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Hernández Blanco, Aída                                                                                                                    (Vithas Hospital Medimar Internacional                                                             )","Avda. Denia, 78, 03016 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"Hernández Blanco, Aída                                                                                                                    (Vithas Hospital Medimar Internacional                                                             )","Avda. Denia, 78",2017-11-13T22:50:56.571000
Hospital Centro Médico Acuario,966435322,BENIARBEIG,03778,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,Hospital Centro Médico Acuario,"Avda. Vergel, 11-Bajo, 03778 - BENIARBEIG - ALICANTE/ALACANT",,,"Avda. Vergel, 11-Bajo",2017-11-13T22:50:57.146000
Hospital Imed Elche,966915151,ELCHE/ELX,03203,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,Hospital Imed Elche,"C/ Max Planck, s/n, 03203 - ELCHE/ELX - ALICANTE/ALACANT",,,"C/ Max Planck, s/n",2017-11-13T22:50:57.685000
Hospital Imed Levante,966878787,BENIDORM,03503,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,Hospital Imed Levante,"C/ Ramón y Cajal, 7, 03503 - BENIDORM - ALICANTE/ALACANT",,,"C/ Ramón y Cajal, 7",2017-11-13T22:50:58.221000
Hospital Quirónsalud Torrevieja,966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,Hospital Quirónsalud Torrevieja,"C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,,"C/ Partida de la Loma, s/n",2017-11-13T22:50:58.767000
"Iranzo Urillo, Antonio                                                                                                                    (Hospital Imed Levante                                                             )",966878787,BENIDORM,03503,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Iranzo Urillo, Antonio                                                                                                                    (Hospital Imed Levante                                                             )","C/ Ramón y Cajal, 7, 03503 - BENIDORM - ALICANTE/ALACANT",,"Iranzo Urillo, Antonio                                                                                                                    (Hospital Imed Levante                                                             )","C/ Ramón y Cajal, 7",2017-11-13T22:50:59.333000
"Johannes Roessler, Martín                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )",966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Johannes Roessler, Martín                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,"Johannes Roessler, Martín                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n",2017-11-13T22:50:59.950000
"Leiva Borras, Mariano",965331023,ALCOY/ALCOI,03803,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Leiva Borras, Mariano","C/ Alameda, 10 1º Izq., 03803 - ALCOY/ALCOI - ALICANTE/ALACANT",,,"C/ Alameda, 10 1º Izq.",2017-11-13T22:51:00.488000
"López Peña, Luis F.                                                                                                                    (Clínica Traumasport                                                             )",965269109,ALICANTE/ALACANT,03014,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"López Peña, Luis F.                                                                                                                    (Clínica Traumasport                                                             )","C/ Gran Vía Sidi Ifni, 17, 03014 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"López Peña, Luis F.                                                                                                                    (Clínica Traumasport                                                             )","C/ Gran Vía Sidi Ifni, 17",2017-11-13T22:51:01.094000
"López Peña, Luis Francisco",965673382,SANT VICENT DEL RASPEIG,03690,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"López Peña, Luis Francisco","Avda. Ancha de Castelar nº 89. Entrpta.Izda, 03690 - SANT VICENT DEL RASPEIG - ALICANTE/ALACANT",,,Avda. Ancha de Castelar nº 89. Entrpta.Izda,2017-11-13T22:51:02.233000
"López Peña, Luis Francisco",965141612,ALICANTE/ALACANT,03015,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"López Peña, Luis Francisco","C/ Granja de Rocamora, 6-Entlo. Izda, 03015 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"C/ Granja de Rocamora, 6-Entlo. Izda",2017-11-13T22:51:02.780000
"Miñambres Rodríguez, María                                                                                                                    (Hospital Imed Elche                                                             )",966915151,ELCHE/ELX,03203,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Miñambres Rodríguez, María                                                                                                                    (Hospital Imed Elche                                                             )","C/ Max Planck, s/n, 03203 - ELCHE/ELX - ALICANTE/ALACANT",,"Miñambres Rodríguez, María                                                                                                                    (Hospital Imed Elche                                                             )","C/ Max Planck, s/n",2017-11-13T22:51:03.400000
"Montes Díaz, María Isabel                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )",966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Montes Díaz, María Isabel                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,"Montes Díaz, María Isabel                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n",2017-11-13T22:51:04.007000
"Moreno Madrider, Francisco                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )",966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Moreno Madrider, Francisco                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,"Moreno Madrider, Francisco                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n",2017-11-13T22:51:04.635000
"Ortuño Devesa, Inmaculada",607229802,JAVEA/XABIA,03730,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Ortuño Devesa, Inmaculada","C/ Barcelona, 2, 03730 - JAVEA/XABIA - ALICANTE/ALACANT",,,"C/ Barcelona, 2",2017-11-13T22:51:05.202000
"Ortuño Devesa, Inmaculada",607227355,JAVEA/XABIA,03730,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Ortuño Devesa, Inmaculada","C/ Calvario, 1 Puerta 3, 03730 - JAVEA/XABIA - ALICANTE/ALACANT",,,"C/ Calvario, 1 Puerta 3",2017-11-13T22:51:05.817000
"Pérez Monjardín, Esteban",966386062,ALICANTE/ALACANT,03015,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Pérez Monjardín, Esteban","Avda. Javier Soler,5-Of.:Oficina K Centro Cinco, 03015 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"Avda. Javier Soler,5-Of.:Oficina K Centro Cinco",2017-11-13T22:51:06.388000
Rodica Buruiana                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             ),966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,Rodica Buruiana                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             ),"C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,Rodica Buruiana                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             ),"C/ Partida de la Loma, s/n",2017-11-13T22:51:07.013000
"Romero Hidalgo, Belén",966359777,ALICANTE/ALACANT,03016,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Romero Hidalgo, Belén","Avda. Miriam Blasco, 1. Local 2 Clínica Saludalia, 03016 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"Avda. Miriam Blasco, 1. Local 2 Clínica Saludalia",2017-11-13T22:51:07.599000
"Rossler, Martín                                                                                                                    (Hospital Imed Levante                                                             )",966878787,BENIDORM,03503,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Rossler, Martín                                                                                                                    (Hospital Imed Levante                                                             )","C/ Ramón y Cajal, 7, 03503 - BENIDORM - ALICANTE/ALACANT",,"Rossler, Martín                                                                                                                    (Hospital Imed Levante                                                             )","C/ Ramón y Cajal, 7",2017-11-13T22:51:08.212000
"Sánchez Álvarez, Rafael                                                                                                                    (Clínica Vistahermosa                                                             )",902131353,ALICANTE/ALACANT,03016,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Sánchez Álvarez, Rafael                                                                                                                    (Clínica Vistahermosa                                                             )","Avda. de Denia, 76 Edificio Vistahermosa, 76 Consultas externas, 03016 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"Sánchez Álvarez, Rafael                                                                                                                    (Clínica Vistahermosa                                                             )","Avda. de Denia, 76 Edificio Vistahermosa, 76 Consultas externas",2017-11-13T22:51:08.831000
"Sánchez Álvarez, Rafael",965218970,ALICANTE/ALACANT,03004,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Sánchez Álvarez, Rafael","Pza. de los Luceros, 18 1ºB, 03004 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"Pza. de los Luceros, 18 1ºB",2017-11-13T22:51:09.403000
"Velez Velasquez, Diana Mª                                                                                                                    (Hospital Imed Levante                                                             )",966878787,BENIDORM,03503,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Velez Velasquez, Diana Mª                                                                                                                    (Hospital Imed Levante                                                             )","C/ Ramón y Cajal, 7, 03503 - BENIDORM - ALICANTE/ALACANT",,"Velez Velasquez, Diana Mª                                                                                                                    (Hospital Imed Levante                                                             )","C/ Ramón y Cajal, 7",2017-11-13T22:51:10.043000
"Vera Torres, José",965449723,ELCHE/ELX,03201,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,"Vera Torres, José","Avda. Reina Victoria, 17 6º Izq, 03201 - ELCHE/ELX - ALICANTE/ALACANT",,,"Avda. Reina Victoria, 17 6º Izq",2017-11-13T22:51:10.727000
Vithas Hospital Medimar Internacional,965162200,ALICANTE/ALACANT,03016,ALICANTE/ALACANT,PEDIATRIA-MEDICO PUERICULTOR,ALICANTE/ALACANT,Vithas Hospital Medimar Internacional,"Avda. Denia, 78, 03016 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"Avda. Denia, 78",2017-11-13T22:51:11.315000
"BERENGUER MORENO, Mª ISABEL (POLICLÍNICA LA VEGA )",966342646,ORIHUELA,03300,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"BERENGUER MORENO, Mª ISABEL (POLICLÍNICA LA VEGA )","C/ Obispo Rocamora, 12 Bajo, 03300 - ORIHUELA - ALICANTE/ALACANT",,"BERENGUER MORENO, Mª ISABEL (POLICLÍNICA LA VEGA )","C/ Obispo Rocamora, 12 Bajo",2017-11-13T22:51:22.798000
"CABRERA BLASCO, MARÍA",965459498,ELCHE/ELX,03203,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"CABRERA BLASCO, MARÍA","C/ Ángel, 33 Bajo Clínica Podológica María Cabrera, 03203 - ELCHE/ELX - ALICANTE/ALACANT",,,"C/ Ángel, 33 Bajo Clínica Podológica María Cabrera",2017-11-13T22:51:23.322000
CENTRO MÉDICO LUMIARES,965254612,ALICANTE/ALACANT,03010,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,CENTRO MÉDICO LUMIARES,"Avda. Conde Lumiares, 37 Bajo, 03010 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"Avda. Conde Lumiares, 37 Bajo",2017-11-13T22:51:23.845000
CLÍNICA BENIDORM,965853850,BENIDORM,03501,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,CLÍNICA BENIDORM,"Avda. Alfonso Puchades, 8, 03501 - BENIDORM - ALICANTE/ALACANT",,,"Avda. Alfonso Puchades, 8",2017-11-13T22:51:24.390000
CLÍNICA LA FERIA,966980153,ELDA,03600,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,CLÍNICA LA FERIA,"C/ Pablo Iglesias, 43, 03600 - ELDA - ALICANTE/ALACANT",,,"C/ Pablo Iglesias, 43",2017-11-13T22:51:24.929000
Clínica Traumasport,965269109,ALICANTE/ALACANT,03014,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,Clínica Traumasport,"C/ Gran Vía Sidi Ifni, 17, 03014 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"C/ Gran Vía Sidi Ifni, 17",2017-11-13T22:51:25.418000
Clínica Ume,965218484,ALICANTE/ALACANT,03001,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,Clínica Ume,"Pza. Calvo Sotelo, 1, 03001 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"Pza. Calvo Sotelo, 1",2017-11-13T22:51:25.991000
Fisioterapia Mutxamel,966371701,MUTXAMEL,03110,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,Fisioterapia Mutxamel,"C/ Elche, 15 Local 4, 03110 - MUTXAMEL - ALICANTE/ALACANT",,,"C/ Elche, 15 Local 4",2017-11-13T22:51:26.501000
"García Gumbau, Roberto                                                                                                                    (Centro Médico Lumiares                                                             )",965254612,ALICANTE/ALACANT,03010,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"García Gumbau, Roberto                                                                                                                    (Centro Médico Lumiares                                                             )","Avda. Conde Lumiares, 37 Bajo, 03010 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"García Gumbau, Roberto                                                                                                                    (Centro Médico Lumiares                                                             )","Avda. Conde Lumiares, 37 Bajo",2017-11-13T22:51:27.050000
"Garrido Llopis, Araceli",966880001,ALTEA,03590,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Garrido Llopis, Araceli","Tapo de la Llimera, 4 Fisiodues, 03590 - ALTEA - ALICANTE/ALACANT",,,"Tapo de la Llimera, 4 Fisiodues",2017-11-13T22:51:27.604000
"Gómez García, Vanesa                                                                                                                    (Fisioterapia Mutxamel                                                             )",966371701,MUTXAMEL,03110,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Gómez García, Vanesa                                                                                                                    (Fisioterapia Mutxamel                                                             )","C/ Elche, 15 Local 4, 03110 - MUTXAMEL - ALICANTE/ALACANT",,"Gómez García, Vanesa                                                                                                                    (Fisioterapia Mutxamel                                                             )","C/ Elche, 15 Local 4",2017-11-13T22:51:28.167000
"Hernández Ávila, Dolores                                                                                                                    (Clínica La Feria                                                             )",966980153,ELDA,03600,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Hernández Ávila, Dolores                                                                                                                    (Clínica La Feria                                                             )","C/ Pablo Iglesias, 43, 03600 - ELDA - ALICANTE/ALACANT",,"Hernández Ávila, Dolores                                                                                                                    (Clínica La Feria                                                             )","C/ Pablo Iglesias, 43",2017-11-13T22:51:28.727000
"Lorca Gutiérrez, Rubén                                                                                                                    (Clínica Benidorm                                                             )",965853850,BENIDORM,03501,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Lorca Gutiérrez, Rubén                                                                                                                    (Clínica Benidorm                                                             )","Avda. Alfonso Puchades, 8, 03501 - BENIDORM - ALICANTE/ALACANT",,"Lorca Gutiérrez, Rubén                                                                                                                    (Clínica Benidorm                                                             )","Avda. Alfonso Puchades, 8",2017-11-13T22:51:29.337000
"Maestre Moreno, Iván                                                                                                                    (Osteomedic                                                             )",966311697,PETRER,03610,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Maestre Moreno, Iván                                                                                                                    (Osteomedic                                                             )","Comparsa Moros Nuevos, 4 Bajo, 03610 - PETRER - ALICANTE/ALACANT",,"Maestre Moreno, Iván                                                                                                                    (Osteomedic                                                             )","Comparsa Moros Nuevos, 4 Bajo",2017-11-13T22:51:29.926000
"Molto Valor, Ana                                                                                                                    (Centro Médico Lumiares                                                             )",965254612,ALICANTE/ALACANT,03010,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Molto Valor, Ana                                                                                                                    (Centro Médico Lumiares                                                             )","Avda. Conde Lumiares, 37 Bajo, 03010 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"Molto Valor, Ana                                                                                                                    (Centro Médico Lumiares                                                             )","Avda. Conde Lumiares, 37 Bajo",2017-11-13T22:51:30.516000
Osteomedic,966311697,PETRER,03610,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,Osteomedic,"Comparsa Moros Nuevos, 4 Bajo, 03610 - PETRER - ALICANTE/ALACANT",,,"Comparsa Moros Nuevos, 4 Bajo",2017-11-13T22:51:31.073000
"Pertegal Vázquez, Francisco Javier                                                                                                                    (Clínica Traumasport                                                             )",965269109,ALICANTE/ALACANT,03014,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Pertegal Vázquez, Francisco Javier                                                                                                                    (Clínica Traumasport                                                             )","C/ Gran Vía Sidi Ifni, 17, 03014 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"Pertegal Vázquez, Francisco Javier                                                                                                                    (Clínica Traumasport                                                             )","C/ Gran Vía Sidi Ifni, 17",2017-11-13T22:51:31.677000
Policlínica La Vega,966342646,ORIHUELA,03300,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,Policlínica La Vega,"C/ Obispo Rocamora, 12 Bajo, 03300 - ORIHUELA - ALICANTE/ALACANT",,,"C/ Obispo Rocamora, 12 Bajo",2017-11-13T22:51:32.293000
"Rodríguez Álvarez, Esteban",965774950,ALICANTE/ALACANT,03540,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Rodríguez Álvarez, Esteban","Avda. Santander, 17 Local 37 Centro Comercial Fontana, 03540 - ALICANTE/ALACANT - ALICANTE/ALACANT",,,"Avda. Santander, 17 Local 37 Centro Comercial Fontana",2017-11-13T22:51:32.859000
"Roig León, Juan Carlos",669169389,BENIDORM,03501,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Roig León, Juan Carlos","C/ Apolo, XI nº 11 Local 2 Clínica Podológica Podoroig, 03501 - BENIDORM - ALICANTE/ALACANT",,,"C/ Apolo, XI nº 11 Local 2 Clínica Podológica Podoroig",2017-11-13T22:51:33.495000
"Ruiz de la Torre, Inés",618223174,JIJONA/XIXONA,03100,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Ruiz de la Torre, Inés","C/ Alicante, 29 Bajo h, 03100 - JIJONA/XIXONA - ALICANTE/ALACANT",,,"C/ Alicante, 29 Bajo h",2017-11-13T22:51:34.069000
"Villalba Strohecker, Enrique Juan                                                                                                                    (Clínica Ume                                                             )",965218484,ALICANTE/ALACANT,03001,ALICANTE/ALACANT,PODOLOGIA,ALICANTE/ALACANT,"Villalba Strohecker, Enrique Juan                                                                                                                    (Clínica Ume                                                             )","Pza. Calvo Sotelo, 1, 03001 - ALICANTE/ALACANT - ALICANTE/ALACANT",,"Villalba Strohecker, Enrique Juan                                                                                                                    (Clínica Ume                                                             )","Pza. Calvo Sotelo, 1",2017-11-13T22:51:34.687000
"ARAB AL KHALDI, KHALID (HOSPITAL IMED ELCHE )",966915151,ELCHE/ELX,03203,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,"ARAB AL KHALDI, KHALID (HOSPITAL IMED ELCHE )","C/ Max Planck, s/n, 03203 - ELCHE/ELX - ALICANTE/ALACANT",,"ARAB AL KHALDI, KHALID (HOSPITAL IMED ELCHE )","C/ Max Planck, s/n",2017-11-13T22:51:46.356000
"ASENCIO MARTÍNEZ, MIRELLA (POLICLÍNICA LA VEGA )",966342646,ORIHUELA,03300,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,"ASENCIO MARTÍNEZ, MIRELLA (POLICLÍNICA LA VEGA )","C/ Obispo Rocamora, 12 Bajo, 03300 - ORIHUELA - ALICANTE/ALACANT",,"ASENCIO MARTÍNEZ, MIRELLA (POLICLÍNICA LA VEGA )","C/ Obispo Rocamora, 12 Bajo",2017-11-13T22:51:46.992000
"BONETE LLACER, JOSÉ Mª",965455894,ELCHE/ELX,03202,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,"BONETE LLACER, JOSÉ Mª","C/ La Fira, 6 Centro de Fisioterapia Fonos, 03202 - ELCHE/ELX - ALICANTE/ALACANT",,,"C/ La Fira, 6 Centro de Fisioterapia Fonos",2017-11-13T22:51:47.564000
CLÍNICA LA FERIA,966980153,ELDA,03600,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,CLÍNICA LA FERIA,"C/ Pablo Iglesias, 43, 03600 - ELDA - ALICANTE/ALACANT",,,"C/ Pablo Iglesias, 43",2017-11-13T22:51:48.124000
"GARCÍAS MORCILLO, ESTHER (CLÍNICA LA FERIA )",966980153,ELDA,03600,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,"GARCÍAS MORCILLO, ESTHER (CLÍNICA LA FERIA )","C/ Pablo Iglesias, 43, 03600 - ELDA - ALICANTE/ALACANT",,"GARCÍAS MORCILLO, ESTHER (CLÍNICA LA FERIA )","C/ Pablo Iglesias, 43",2017-11-13T22:51:48.711000
"Gómez Sánchez, Jose Antonio                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )",966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,"Gómez Sánchez, Jose Antonio                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,"Gómez Sánchez, Jose Antonio                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n",2017-11-13T22:51:49.286000
Hospital Imed Elche,966915151,ELCHE/ELX,03203,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,Hospital Imed Elche,"C/ Max Planck, s/n, 03203 - ELCHE/ELX - ALICANTE/ALACANT",,,"C/ Max Planck, s/n",2017-11-13T22:51:49.844000
Hospital Imed Levante,966878787,BENIDORM,03503,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,Hospital Imed Levante,"C/ Ramón y Cajal, 7, 03503 - BENIDORM - ALICANTE/ALACANT",,,"C/ Ramón y Cajal, 7",2017-11-13T22:51:50.398000
Hospital Quirónsalud Torrevieja,966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,Hospital Quirónsalud Torrevieja,"C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,,"C/ Partida de la Loma, s/n",2017-11-13T22:51:50.973000
"Ortín García, José Luis                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )",966921313,TORREVIEJA,03183,ALICANTE/ALACANT,PSIQUIATRIA,ALICANTE/ALACANT,"Ortín García, José Luis                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n, 03183 - TORREVIEJA - ALICANTE/ALACANT",,"Ortín García, José Luis                                                                                                                    (Hospital Quirónsalud Torrevieja                                                             )","C/ Partida de la Loma, s/n",2017-11-13T22:51:51.570000
